trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",25,0,-168.17638222683246,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.7744}",25,0,-105.91091097355906,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.681472}",20,0,-114.4517474731543,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",20,0,-82.08664856190575,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",20,0,-76.29880287197729,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",25,0,-1.8690696072636097,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",35,0,-183.35474830810185,"{0: 24, 1: 3, 2: 3, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",35,0,-85.156810885926,"{0: 28, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.316478381828866}",20,0,-54.450863096644426,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",25,15,13.826578507048396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",20,0,10.530625664475714,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,10,19.36925748885823,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",30,0,-54.17299695009977,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",20,0,27.86179634185537,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",25,12,14.441717725608406,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.1293369914320991}",25,0,-11.290599294826038,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1138165524602472}",25,3,-43.98520275848496,"{0: 19, 1: 0, 2: 0, 3: 2, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.10015856616501755}",25,5,-3.5499634443350008,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.08813953822521545}",30,22,4.752300534565681,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.07756279363818959}",20,0,21.474439338405386,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.06825525840160684}",20,15,-1.6693328689160531,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.060064627393414026}",25,16,13.002329144256878,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.05285687210620434}",20,8,13.04309609441707,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.04651404745345982}",20,0,10.705450541436937,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.04093236175904464}",25,6,33.17962990242645,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.03602047834795928}",25,13,-10.446337968625791,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.03169802094620417}",25,14,7.6610028365521545,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.02789425843265967}",20,0,28.493437256295657,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.02454694742074051}",30,10,26.700460936991348,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.02160131373025165}",20,1,29.024063434278485,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.019009156082621454}",30,17,20.84430611233167,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.01672805735270688}",25,13,8.460914862173095,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.5, 'e': 0.014720690470382053}",20,0,35.40484172413609,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.012954207613936206}",25,11,25.258951375088177,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.011399702700263862}",20,2,27.043329970511248,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.5, 'e': 0.010031738376232198}",20,10,16.430674551663817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.008827929771084335}",20,0,30.522825485835735,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,17,18.38480734157195,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,3,30.748079772778155,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,7,26.210563578029934,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,8,20.789149217951664,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,13,31.655130136538396,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,3,24.59764904980262,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,18,15.796771483334627,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,14,10.130799623872726,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,11.189334235065287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,8,15.646651940050031,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
