trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.88}",25,0,-142.1699969204604,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7744}",30,13,8.54611914187723,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.681472}",20,0,-88.01167480073522,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.59969536}",30,0,-110.74116311697696,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.5277319168}",25,0,-105.36665785596657,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.46440408678399997}",20,0,-137.87680431772583,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.40867559636991996}",25,0,-71.97267226358552,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.35963452480552954}",35,20,-89.89256232649988,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.316478381828866}",30,1,-20.239799906757327,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.2785009760094021}",20,0,-69.71453323291938,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.24508085888827386}",20,15,10.378733788658792,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.215671155821681}",20,5,-8.153160431142947,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.1897906171230793}",25,13,18.693995610057613,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.16701574306830977}",25,0,24.6182999084537,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.1469738539001126}",30,18,16.734821711442358,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
