trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.69178959567772,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-122.82986836163761,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,17,-6.082076257828284,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",30,0,-171.515379107779,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-152.65820272456196,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.465841567416412,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.67694062159429,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-169.0820909987416,"{0: 15, 1: 0, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.34706547803155,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-77.7415874722008,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-226.13089628717086,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-125.0314955825237,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.00298792971228,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.85265926362396,"{0: 15, 1: 3, 2: 9, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.22715025021164,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.0791096420003,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-64.37945884193935,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-21.264952234979788,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.05833598905906,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-51.86888960699068,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-82.62199826020148,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-175.49743966908588,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.30209501789714,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",35,0,-254.32863085580013,"{0: 19, 1: 3, 2: 6, 3: 4, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-133.2754482314383,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.41316474254526,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-171.12929208088627,"{0: 13, 1: 5, 2: 4, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-126.71728959502744,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.93520404694364,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.10475607130262,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
